time,nr_of_tweets,df_nr_of_tweets,log_df_nr_of_tweets,bpi_closing_price,df_bpi_closing_price,log_df_bpi_closing_price
2017-12-19 15:00:00,9553,,,17931.78,,
2017-12-19 16:00:00,19220,9667.0,0.6990961622542748,18323.68,391.90000000000146,0.021619654788297638
2017-12-19 17:00:00,20251,1031.0,0.05225277150716501,18178.92,-144.76000000000204,-0.007931531391941249
2017-12-19 18:00:00,21103,852.0,0.041211035420865016,18178.08,-0.8399999999965075,-4.620843304792288e-05
2017-12-19 19:00:00,5909,-15194.0,-1.272938598106638,17917.22,-260.8600000000006,-0.014454211027388197
